feature,kind,mean,std,OR_per_unit,effect,p_value,n_pos,rate_1,rate_0,OR,n_levels,rates
feature_051,ordinal,0.79848,0.6783501255088374,0.6873354398160327,-0.3749328383602404,1.7325099096621463e-93,,,,,,
feature_013,binary,,,,-0.29508011176975657,1.3090389426613218e-33,32365.0,0.15396261393480612,0.19642755883186844,0.744471944111897,,
feature_011,continuous,3.8398919999999994,3.870236969879243,0.9622102444573896,-0.038522302862851056,1.7878154201157947e-32,,,,,,
feature_067,binary,,,,-0.25212302004295,2.0397854888166925e-18,12584.0,0.14359504132231404,0.1774641864443019,0.7771491272690292,,
feature_006,binary,,,,0.1272300800496943,9.825607973373308e-07,14258.0,0.18193294992285033,0.16375692462648983,1.1356782846403548,,
feature_099,continuous,3.801978,0.5016358442998324,1.0949031742037876,0.09066593397404037,0.00013981013094285316,,,,,,
feature_007,binary,,,,0.08255318976907074,0.0005660234880564283,22371.0,0.17536095838362165,0.16374099677874696,1.0860564389939626,,
feature_063,continuous,6.086860999999999,9.104812951459058,0.99514513148071,-0.004866691675561055,0.0006882461176529518,,,,,,
feature_092,continuous,0.30685414734257827,0.21181304087142336,1.180396353196561,0.165850274617762,0.0031928243285727844,,,,,,
feature_039,binary,,,,0.07018763868538383,0.0032898241872041305,25008.0,0.1738643634037108,0.16401248399487836,1.0727094441611735,,
feature_076,binary,,,,0.10034465740610124,0.018221867564151072,4066.0,0.1822429906542056,0.16776244176427046,1.1055518890660356,,
feature_112,binary,,,,-0.09891305147992743,0.031161645084818054,3879.0,0.15648362980149524,0.1699876412046573,0.9058214644354048,,
feature_033,ordinal,1.3465,1.1106135328044517,0.9780880335594447,-0.02215559913386164,0.04024084520431761,,,,,,
feature_123,categorical,,,,,0.04481469374100249,,,,,5.0,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,binary,,,,-0.06191128376011773,0.04877798674931671,9048.0,0.16191423519009726,0.17049228364915023,0.9399662733655517,,
feature_053,binary,,,,-0.044293931338935714,0.06539743409980613,22409.0,0.16551385603998395,0.17172266318727122,0.9566727200492978,,
feature_043,categorical,,,,,0.07841390423372419,,,,,2.0,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,continuous,27.997725,11.709526210332184,0.9982138043170946,-0.0017877928325788113,0.08224925641221482,,,,,,
feature_074,binary,,,,0.07382863703576578,0.08637974514455865,4013.0,0.1786693246947421,0.16809098223410965,1.0766222964995782,,
feature_031,continuous,130.02716,15.042842420119994,1.0013541769668306,0.0013532608961232698,0.08810406382399363,,,,,,
feature_100,binary,,,,0.13245510357279028,0.10642185455077526,995.0,0.1879396984924623,0.16855422916028975,1.1416277599309597,,
feature_117,binary,,,,-0.060852692151400344,0.16705289337105422,4143.0,0.16123581945450158,0.16963604247988312,0.94096184063162,,
feature_038,binary,,,,-0.035505671959382555,0.1750694157177909,14976.0,0.16546474358974358,0.17042599360438557,0.9651172601085772,,
feature_032,binary,,,,0.039801515641838786,0.1777661158161591,10067.0,0.17343796563027714,0.16780607517591967,1.0406042100344606,,
feature_070,continuous,104.324623,49.43196164056716,1.0003177917650683,0.00031774127996093943,0.18473882010478815,,,,,,
feature_010,continuous,1.8044660000000001,0.6015100091684449,1.025143588973768,0.024832689582807443,0.21073279137359446,,,,,,
feature_085,binary,,,,0.04525863877680882,0.21075126866574612,6060.0,0.17458745874587459,0.1681611288120164,1.046298438264431,,
feature_028,continuous,0.6705592000000001,0.3161666815506821,0.953713290500377,-0.047392186769954055,0.21267772865754841,,,,,,
feature_005,categorical,,,,,0.23151897695571896,,,,,4.0,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_026,ordinal,1.2545,1.1356740487969699,0.9877998696786139,-0.01227516280656494,0.2444126512164444,,,,,,
feature_045,ordinal,1.10846,1.0967226105126529,1.0123265632255147,0.012251209746055087,0.25846432096228544,,,,,,
feature_081,binary,,,,-0.0706656980863227,0.2608361143763861,1961.0,0.15961244263131055,0.16932076021565812,0.9317733336755001,,
feature_093,binary,,,,-0.02674677076840294,0.26310075622544893,23978.0,0.16698640420385352,0.17074014295596035,0.9736077562546449,,
feature_046,binary,,,,0.05878099262039765,0.26690401089648064,2589.0,0.1769022788721514,0.16850519921537196,1.0605429485721154,,
feature_057,categorical,,,,,0.26858137121818315,,,,,3.0,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_059,continuous,7.500423999999999,2.5102950129108406,1.005256073181945,0.00524230824125463,0.2701742799775271,,,,,,
feature_020,continuous,5.7898124,9.346972041818315,1.0013104716542325,0.0013096137356910344,0.28830772783523184,,,,,,
feature_104,binary,,,,0.03253932958858222,0.2945906037593159,8858.0,0.17272522013998645,0.16812503038257742,1.0330745227409488,,
feature_071,binary,,,,0.03809790889922139,0.2958498748137549,5976.0,0.17369477911646586,0.16829456660003633,1.0388329388889763,,
feature_096,continuous,1.982722,1.7247257858270475,0.9930248655710083,-0.006999574393474137,0.3176095062217207,,,,,,
feature_111,binary,,,,0.03219749361138195,0.33063770240362744,7546.0,0.172806785051683,0.16825269703679277,1.0327214410533971,,
feature_054,continuous,1.05701,0.16728720094541602,1.0716183666793975,0.0691699980332229,0.33166230745914205,,,,,,
feature_062,continuous,25.9954,4.991889624104322,1.002237661469074,0.0022351616331453095,0.3497931902844007,,,,,,
feature_016,binary,,,,0.02326183604048999,0.3518329843867385,17443.0,0.17107148999598693,0.16779801578769543,1.023534502685971,,
feature_042,ordinal,0.93328,1.0697342325206596,0.9896290072745478,-0.010425146212848672,0.352014657453384,,,,,,
feature_012,binary,,,,-0.022379623289273114,0.35566110110604154,20896.0,0.16711332312404287,0.17025151181968115,0.9778689427555409,,
feature_116,binary,,,,-0.11387139978366081,0.3664704059159739,488.0,0.15368852459016394,0.16909032153821296,0.8923727078269694,,
feature_015,binary,,,,-0.023975069054973912,0.36899927957137535,13980.0,0.16652360515021458,0.1698778456413104,0.9763100497866778,,
feature_027,binary,,,,-0.030286776045772384,0.3695812529370053,7451.0,0.16534693329754396,0.1695692025664528,0.9701672729169085,,
feature_075,binary,,,,0.029662630392656108,0.37555128904228774,7350.0,0.17251700680272108,0.16832356389214537,1.030106948547684,,
feature_109,binary,,,,-0.03164056789616689,0.37584026084943545,6517.0,0.16510664416142395,0.16951452291700206,0.9688547570064454,,
feature_068,binary,,,,-0.03505486645041055,0.3803473515418827,5056.0,0.16455696202531644,0.16943307226771093,0.9655524383692469,,
feature_066,continuous,3.4948233999999996,2.085198213562499,0.9949955615929623,-0.0050170025440838765,0.3841595379200927,,,,,,
feature_121,continuous,107.77664859999999,27.4163562504925,0.9996279507143518,-0.000372118513154824,0.3939276868063566,,,,,,
feature_120,binary,,,,0.04633090288276478,0.40047834613267586,2397.0,0.17521902377972465,0.16862382622943933,1.0474209482299213,,
feature_048,continuous,12.99884,2.980566444474372,0.9966502515348348,-0.003355371433085406,0.4021871016901609,,,,,,
feature_017,binary,,,,-0.02990051614868546,0.4200653855047116,5972.0,0.16527126590756866,0.16943763059870992,0.9705420820101034,,
feature_080,binary,,,,0.05493078469441395,0.424446542722448,1501.0,0.1765489673550966,0.16870450937132725,1.0564674884247425,,
feature_049,binary,,,,-0.04043256425090601,0.42660761924670676,3000.0,0.16366666666666665,0.16927659574468085,0.9603739258628742,,
feature_056,continuous,139.96988,3.005560422528396,0.996857657538078,-0.0031472899872606293,0.42804948014432076,,,,,,
feature_079,binary,,,,0.027940681564470687,0.44259639950624996,6032.0,0.1724137931034483,0.16846342794759825,1.0283346834075804,,
feature_052,binary,,,,-0.13026685716297418,0.44901049439668483,264.0,0.15151515151515152,0.16903249155541258,0.8778611361280575,,
feature_030,binary,,,,0.021417206516512466,0.45577851929863034,10981.0,0.17129587469265095,0.168276993259694,1.021648201022247,,
feature_009,binary,,,,-0.052201092828958434,0.46025276111273783,1519.0,0.1619486504279131,0.16915905199975248,0.9491379828087927,,
feature_036,binary,,,,-0.040838371104980516,0.4644332693265151,2464.0,0.16355519480519481,0.16921911814203972,0.9599842786073953,,
feature_088,binary,,,,0.018430165623853353,0.47687502904597223,15151.0,0.17074780542538445,0.1681540359838159,1.0186010493169186,,
feature_108,binary,,,,-0.062313248941904466,0.4785569471772211,978.0,0.1605316973415133,0.16910774754191996,0.9395885155794299,,
feature_113,binary,,,,-0.04996972406899481,0.4867397975363221,1467.0,0.16223585548738922,0.16914264521047534,0.9512582242931084,,
feature_087,binary,,,,-0.0208793531284532,0.4873972379143784,9910.0,0.16659939455095862,0.1695185831878274,0.9793371114009737,,
feature_018,ordinal,1.06248,1.1202684274882482,0.9926570818955849,-0.0073700100315665035,0.4901676266330083,,,,,,
feature_095,binary,,,,0.016044331187479298,0.5035616226614675,22417.0,0.17018334299861712,0.16792952180691006,1.0161737325958409,,
feature_055,continuous,223.72975760000003,80.84019486782158,1.0000980819220449,9.807711232769425e-05,0.5052327555956477,,,,,,
feature_002,binary,,,,0.015477295695789386,0.5366017075690964,17316.0,0.17036267036267036,0.1681862685105862,1.015597689357651,,
feature_003,continuous,4.491785999999999,1.7865913266260327,0.9959634424562915,-0.004044726432313402,0.5449371670726698,,,,,,
feature_103,continuous,4.201886,0.5025575532074766,0.9858694148387871,-0.014231372461936672,0.5490276397562655,,,,,,
feature_069,binary,,,,-0.015153154545653044,0.5613450599845681,15019.0,0.16745455756042346,0.16957777078985736,0.9849610767844935,,
feature_019,continuous,249.83634,69.62372659281097,0.9999015983511672,-9.840649059262e-05,0.5659455232981625,,,,,,
feature_083,binary,,,,0.0156947276109189,0.5684730778286946,12462.0,0.1705986198042048,0.16838936544301775,1.0158185367170114,,
feature_022,binary,,,,-0.022053234761443212,0.5789392291572429,5079.0,0.16617444378814727,0.16925268805235857,0.9781881600517753,,
feature_061,binary,,,,-0.029790763874501292,0.5895679178167903,2503.0,0.16500199760287654,0.16914752510684886,0.9706486070563715,,
feature_041,binary,,,,0.032597217343141714,0.5923547292734155,1961.0,0.17338092809790923,0.16875871687587168,1.0331343268363087,,
feature_014,continuous,12.50637,1.7938808163497555,0.9965349872153108,-0.003471029844969684,0.601897387057001,,,,,,
feature_004,binary,,,,-0.02572587911946258,0.6086529790286731,3050.0,0.16557377049180327,0.16915867944621937,0.9746022118116654,,
feature_107,binary,,,,-0.016433087307822624,0.6261905676985218,7402.0,0.1669818967846528,0.1692802478989624,0.9837011992840969,,
feature_090,continuous,2.230135,3.3217638028719385,0.9983567976067894,-0.0016445539310328133,0.6511138934632483,,,,,,
feature_091,binary,,,,-0.013667966536814987,0.658791472079912,9153.0,0.16737681634436796,0.16929027835581562,0.986425016008302,,
feature_118,continuous,14.9862,4.984883804195523,1.0010413390895423,0.0010407972721037518,0.6637568533014684,,,,,,
feature_078,continuous,64.988108,9.952698373025985,1.000514086549157,0.000513954451938084,0.6682581877026852,,,,,,
feature_008,binary,,,,0.0657829569912195,0.6711502069338582,286.0,0.17832167832167833,0.16888602808062114,1.0679948911842543,,
feature_058,binary,,,,0.03544645285181212,0.6714613274063093,1018.0,0.1738703339882122,0.16883753215466907,1.0360821673973082,,
feature_110,binary,,,,0.01028544038149701,0.6721781347760853,20206.0,0.1698010491933089,0.1683560448412432,1.0103385173406374,,
feature_047,binary,,,,0.012433578310426572,0.6763759017743571,9980.0,0.17034068136272545,0.16859070464767617,1.0125111966026754,,
feature_098,binary,,,,0.027622106825474273,0.6894575622630603,1511.0,0.1727332892124421,0.16882179463383448,1.0280071341314456,,
feature_060,binary,,,,-0.04913181620203414,0.6907639870218761,487.0,0.162217659137577,0.16900611960495224,0.9520556250702928,,
feature_114,binary,,,,0.01288757875268537,0.695843401506524,7702.0,0.1704752012464295,0.16866045675918484,1.0129709814971004,,
feature_086,binary,,,,-0.008941943550326084,0.709284496168906,27510.0,0.1683751363140676,0.1696309470875945,0.9910979167289673,,
feature_073,binary,,,,0.009531852056790678,0.7140439335716704,14999.0,0.1698779918661244,0.16853804177023513,1.0095774248411977,,
feature_097,continuous,77.9459,11.987555514772158,0.9996530730823054,-0.00034698711075976837,0.7274692504281591,,,,,,
feature_094,continuous,9.39654,0.5012327334532948,1.0082707280906653,0.008236713043196857,0.7294112975118431,,,,,,
feature_106,binary,,,,0.00934268401006428,0.7447335902534511,11073.0,0.16996297299738103,0.16864900968479463,1.0093864631142193,,
feature_101,continuous,26.225568799999998,32.95975338778089,0.9998835289451731,-0.00011647783810690365,0.7494475425246765,,,,,,
feature_023,continuous,27.3928112,23.9814979769417,0.9998462061127237,-0.00015380571476887058,0.7579394565536679,,,,,,
feature_064,ordinal,3.20894,2.6825115085978433,1.0012686289298076,0.0012678249000652394,0.7755443934634758,,,,,,
feature_077,continuous,95.98314,1.9846446827304716,1.0016078525427508,0.001606561331717089,0.7893810506689598,,,,,,
feature_072,binary,,,,-0.023024276799530483,0.7934448911722611,953.0,0.1657922350472193,0.16900116215059025,0.9772387592558487,,
feature_050,binary,,,,-0.032040521982795916,0.7981003909789117,468.0,0.16452991452991453,0.1689816684163773,0.968467337067289,,
feature_029,binary,,,,-0.005833836030457646,0.815147703470673,17760.0,0.16841216216216215,0.16923076923076924,0.994183147748048,,
feature_024,binary,,,,0.005698658382383402,0.8196501759273453,17544.0,0.1694596443228454,0.1686591077150604,1.0057149266237655,,
feature_089,binary,,,,0.00549524719315778,0.821320449575097,20112.0,0.1694013524264121,0.16862955032119914,1.0055103737593951,,
feature_105,binary,,,,-0.00530883729711794,0.8286683014283828,19278.0,0.16848220769789396,0.16922726385000977,0.9947052296755071,,
feature_065,continuous,1.002854,0.29785488586669295,1.0079023112277354,0.007871251488215473,0.8442662874244073,,,,,,
feature_122,binary,,,,0.005957295647418083,0.8516507939601352,8418.0,0.16963649322879543,0.16879899956712038,1.0059750756224546,,
feature_115,binary,,,,-0.003801123430733774,0.8741360780945987,22479.0,0.16864629209484408,0.1691798989862287,0.996206091694179,,
feature_034,binary,,,,0.006090679684327909,0.8777236312808748,5038.0,0.16971020246129417,0.1688536986788844,1.0061092655882726,,
feature_040,binary,,,,0.005053083630372673,0.879489321025892,7532.0,0.1695432819968136,0.16883300367335405,1.0050658719886016,,
feature_025,binary,,,,0.0034613588673093466,0.8941210982913191,15052.0,0.16927982992293383,0.16879363625958568,1.0034673562876584,,
feature_119,continuous,1.9082508000000002,1.1199653042594735,0.9985987534217159,-0.001402229242347785,0.8954209247097021,,,,,,
feature_037,binary,,,,0.003122932291544179,0.8964334483611484,22467.0,0.16918146615035384,0.1687429629898667,1.0031278137247321,,
feature_082,continuous,79.99906,9.964748117263216,0.9998908873230241,-0.00010911863019703218,0.9274118891144288,,,,,,
feature_035,binary,,,,0.0028051525330468996,0.9375038019918204,6368.0,0.16928391959798994,0.16888980564723138,1.002809090654897,,
feature_102,binary,,,,-0.0010385411163228912,0.9681705612651706,15044.0,0.16883807498005848,0.16898386543082733,0.9989619979808613,,
feature_001,binary,,,,-0.0014440105606140952,0.9687244012715683,5967.0,0.16876152170269818,0.1689641859514455,0.9985570315209829,,
feature_084,continuous,25.7630584,12.18379231758709,1.0000102922036456,1.0292150681206488e-05,0.9916167592300348,,,,,,
