col,kind,effect,p,summary
feature_051,cont,-0.09220126302766689,7.882064729326045e-95,corr=-0.0922
feature_013,binary,-0.04246494489706232,1.109329360648439e-33,rr1=0.154 rr0=0.196 diff=-0.042
feature_011,cont,-0.0531840644690449,1.177202369257721e-32,corr=-0.0532
feature_067,binary,-0.033869145121987854,1.9915374242765803e-18,rr1=0.144 rr0=0.177 diff=-0.034
feature_006,binary,0.018176025296360504,1.0395027404398896e-06,rr1=0.182 rr0=0.164 diff=0.018
feature_099,cont,0.017034622841658464,0.00013939539123007167,corr=0.0170
feature_007,binary,0.01161996160487469,0.0005904565948079544,rr1=0.175 rr0=0.164 diff=0.012
feature_063,cont,-0.015186413798301573,0.0006840427681663,corr=-0.0152
feature_092,cont,0.013187648213665444,0.003189047895858839,corr=0.0132
feature_039,binary,0.009851879408832448,0.0034149284285682475,rr1=0.174 rr0=0.164 diff=0.010
feature_076,binary,0.014480548889935135,0.01927836481113668,rr1=0.182 rr0=0.168 diff=0.014
feature_112,binary,-0.01350401140316207,0.03288596918188831,rr1=0.156 rr0=0.170 diff=-0.014
feature_033,cont,-0.009174066475875162,0.04023039252283255,corr=-0.0092
feature_123,cat,9.752230089907084,0.04481469374100249,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,binary,-0.008578048459052967,0.050551875323761514,rr1=0.162 rr0=0.170 diff=-0.009
feature_053,binary,-0.006208807147287276,0.06715732226589445,rr1=0.166 rr0=0.172 diff=-0.006
feature_043,cat,3.097473414829456,0.07841390423372419,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,cont,-0.00777199751478385,0.08223649470660394,corr=-0.0078
feature_031,cont,0.007627382137860122,0.08809810742601036,corr=0.0076
feature_074,binary,0.01057834246063244,0.09042000699547424,rr1=0.179 rr0=0.168 diff=0.011
feature_100,binary,0.019385469332172556,0.11574326628411497,rr1=0.188 rr0=0.169 diff=0.019
feature_117,binary,-0.008400223025381542,0.17374300997982106,rr1=0.161 rr0=0.170 diff=-0.008
feature_038,binary,-0.0049612500146419825,0.17923590925972227,rr1=0.165 rr0=0.170 diff=-0.005
feature_032,binary,0.005631890454357469,0.1825817697633948,rr1=0.173 rr0=0.168 diff=0.006
feature_070,cont,0.005931631675146073,0.18472986048777143,corr=0.0059
feature_010,cont,0.005597203675198859,0.21073340851368033,corr=0.0056
feature_028,cont,-0.005573502410554347,0.21267205992953328,corr=-0.0056
feature_085,binary,0.006426329933858194,0.21746234658697272,rr1=0.175 rr0=0.168 diff=0.006
feature_005,cat,4.292950531090976,0.23151897695571896,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_026,cont,-0.005205794624641985,0.2444119148789106,corr=-0.0052
feature_045,cont,0.005053741346976264,0.25846363283975,corr=0.0051
feature_093,binary,-0.0037537387521068277,0.2682219928886605,rr1=0.167 rr0=0.171 diff=-0.004
feature_057,cat,2.6292027048109237,0.26858137121818315,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_059,cont,0.004931312008572563,0.2701774400426944,corr=0.0049
feature_081,binary,-0.009708317584347564,0.2740012380258302,rr1=0.160 rr0=0.169 diff=-0.010
feature_046,binary,0.008397079656779438,0.27861548698102373,rr1=0.177 rr0=0.169 diff=0.008
feature_020,cont,0.00475175120701346,0.2880072582552452,corr=0.0048
feature_104,binary,0.004600189757409029,0.3018338227376992,rr1=0.173 rr0=0.168 diff=0.005
feature_071,binary,0.005400212516429526,0.30440613738862127,rr1=0.174 rr0=0.168 diff=0.005
feature_096,cont,-0.004469587148866701,0.31759608124199273,corr=-0.0045
feature_054,cont,0.004341467685793138,0.33166681390125363,corr=0.0043
feature_111,binary,0.00455408801489024,0.3389751042562632,rr1=0.173 rr0=0.168 diff=0.005
feature_062,cont,0.004181442274216616,0.34979879797975927,corr=0.0042
feature_042,cont,-0.004162231230943409,0.3520170692144332,corr=-0.0042
feature_016,binary,0.0032734742082914936,0.3583405793126079,rr1=0.171 rr0=0.168 diff=0.003
feature_012,binary,-0.003138188695638283,0.36199179382836344,rr1=0.167 rr0=0.170 diff=-0.003
feature_015,binary,-0.0033542404910958112,0.3761205445812471,rr1=0.167 rr0=0.170 diff=-0.003
feature_027,binary,-0.00422226926890884,0.37857380495364534,rr1=0.165 rr0=0.170 diff=-0.004
feature_066,cont,-0.003891990145801568,0.38415997673319846,corr=-0.0039
feature_075,binary,0.004193442910575718,0.38468538116615936,rr1=0.173 rr0=0.168 diff=0.004
feature_109,binary,-0.004407878755578104,0.3854536658750173,rr1=0.165 rr0=0.170 diff=-0.004
feature_068,binary,-0.004876110242394482,0.3911682553313359,rr1=0.165 rr0=0.169 diff=-0.005
feature_121,cont,-0.0038126027229199748,0.39393349301833325,corr=-0.0038
feature_116,binary,-0.015401796948049024,0.39929412373266593,rr1=0.154 rr0=0.169 diff=-0.015
feature_048,cont,-0.003746431951880857,0.40219379362119145,corr=-0.0037
feature_120,binary,0.006595197550285314,0.41627353404434064,rr1=0.175 rr0=0.169 diff=0.007
feature_056,cont,-0.003544341322287041,0.4280566672231263,corr=-0.0035
feature_017,binary,-0.004166364691141261,0.4307368786095056,rr1=0.165 rr0=0.169 diff=-0.004
feature_049,binary,-0.005609929078014192,0.44134085513059573,rr1=0.164 rr0=0.169 diff=-0.006
feature_080,binary,0.007844457983769343,0.4449539745793255,rr1=0.177 rr0=0.169 diff=0.008
feature_079,binary,0.0039503651558500386,0.45354710067712867,rr1=0.172 rr0=0.168 diff=0.004
feature_030,binary,0.003018881432956949,0.4645280072229979,rr1=0.171 rr0=0.168 diff=0.003
feature_036,binary,-0.0056639233368449005,0.4814059653319218,rr1=0.164 rr0=0.169 diff=-0.006
feature_009,binary,-0.007210401571839387,0.48159454003626045,rr1=0.162 rr0=0.169 diff=-0.007
feature_088,binary,0.0025937694415685553,0.48495291638085747,rr1=0.171 rr0=0.168 diff=0.003
feature_018,cont,-0.0030859866925696967,0.49017406791200263,corr=-0.0031
feature_087,binary,-0.002919188636868769,0.49682498009814713,rr1=0.167 rr0=0.170 diff=-0.003
feature_052,binary,-0.017517340040261065,0.4995155734701594,rr1=0.152 rr0=0.169 diff=-0.018
feature_055,cont,0.00297971174512603,0.505239417239299,corr=0.0030
feature_108,binary,-0.008576050200406665,0.505639033253345,rr1=0.161 rr0=0.169 diff=-0.009
feature_113,binary,-0.006906789723086115,0.5091188462561029,rr1=0.162 rr0=0.169 diff=-0.007
feature_095,binary,0.002253821191707056,0.5112445776723168,rr1=0.170 rr0=0.168 diff=0.002
feature_002,binary,0.0021764018520841477,0.5448990416756159,rr1=0.170 rr0=0.168 diff=0.002
feature_003,cont,-0.0027072802137210806,0.544944981619502,corr=-0.0027
feature_103,cont,-0.0026797932311697185,0.5490354700691806,corr=-0.0027
feature_019,cont,-0.0025671617904500232,0.5659533051381331,corr=-0.0026
feature_069,binary,-0.0021232132294339012,0.5701499697054165,rr1=0.167 rr0=0.170 diff=-0.002
feature_083,binary,0.0022092543611870463,0.5778622377591959,rr1=0.171 rr0=0.168 diff=0.002
feature_022,binary,-0.0030782442642112995,0.5925183355797236,rr1=0.166 rr0=0.169 diff=-0.003
feature_014,cont,-0.002333003099470924,0.6019049766084476,corr=-0.0023
feature_061,binary,-0.004145527503972318,0.6085706665125763,rr1=0.165 rr0=0.169 diff=-0.004
feature_041,binary,0.004622211222037542,0.6137648634527899,rr1=0.173 rr0=0.169 diff=0.005
feature_004,binary,-0.0035849089544160995,0.6262050248958319,rr1=0.166 rr0=0.169 diff=-0.004
feature_107,binary,-0.0022983511143095936,0.6381433360372275,rr1=0.167 rr0=0.169 diff=-0.002
feature_090,cont,-0.002022423362455758,0.6511128293296585,corr=-0.0020
feature_118,cont,0.001944185094976075,0.6637638314353956,corr=0.0019
feature_078,cont,0.0019164917012688431,0.6682651133268519,corr=0.0019
feature_091,binary,-0.001913462011447653,0.669996133534826,rr1=0.167 rr0=0.169 diff=-0.002
feature_110,binary,0.0014450043520657097,0.6810720333253273,rr1=0.170 rr0=0.168 diff=0.001
feature_047,binary,0.001749976715049284,0.6873269315164132,rr1=0.170 rr0=0.169 diff=0.002
feature_058,binary,0.005032801833543127,0.7025285003644036,rr1=0.174 rr0=0.169 diff=0.005
feature_114,binary,0.0018147444872446683,0.7081006399810921,rr1=0.170 rr0=0.169 diff=0.002
feature_098,binary,0.003911494578607622,0.7153024625785731,rr1=0.173 rr0=0.169 diff=0.004
feature_086,binary,-0.0012558107735268775,0.7182324873400854,rr1=0.168 rr0=0.170 diff=-0.001
feature_073,binary,0.0013399500958892752,0.7237821412233081,rr1=0.170 rr0=0.169 diff=0.001
feature_097,cont,-0.0015585142691474044,0.7274753130877376,corr=-0.0016
feature_094,cont,0.0015469527708063468,0.729417331690348,corr=0.0015
feature_008,binary,0.009435650241057192,0.7297079195205769,rr1=0.178 rr0=0.169 diff=0.009
feature_060,binary,-0.006788460467375246,0.7360463585133659,rr1=0.162 rr0=0.169 diff=-0.007
feature_101,cont,-0.00142827470339601,0.7494504220881755,corr=-0.0014
feature_106,binary,0.0013139633125864025,0.7556331995642853,rr1=0.170 rr0=0.169 diff=0.001
feature_023,cont,-0.0013782624936622633,0.7579443776794482,corr=-0.0014
feature_064,cont,0.0012751424444400932,0.7755495218016563,corr=0.0013
feature_077,cont,0.0011945729878894557,0.7893859636615737,corr=0.0012
feature_029,binary,-0.0008186070686070912,0.8248425210673297,rr1=0.168 rr0=0.169 diff=-0.001
feature_072,binary,-0.003208927103370951,0.8272717643410803,rr1=0.166 rr0=0.169 diff=-0.003
feature_024,binary,0.0008005366077850073,0.8293846934286073,rr1=0.169 rr0=0.169 diff=0.001
feature_089,binary,0.0007718021052129653,0.8307989754418225,rr1=0.169 rr0=0.169 diff=0.001
feature_105,binary,-0.0007450561521158139,0.8382368746910955,rr1=0.168 rr0=0.169 diff=-0.001
feature_065,cont,0.0008785038998116628,0.8442700398091322,corr=0.0009
feature_050,binary,-0.004451753886462767,0.8462984250159804,rr1=0.165 rr0=0.169 diff=-0.004
feature_122,binary,0.0008374936616750428,0.8641731103976235,rr1=0.170 rr0=0.169 diff=0.001
feature_115,binary,-0.0005336068913846248,0.883597218391233,rr1=0.169 rr0=0.169 diff=-0.001
feature_040,binary,0.0007102783234595456,0.8926646301145917,rr1=0.170 rr0=0.169 diff=0.001
feature_034,binary,0.0008565037824097843,0.8933785264735903,rr1=0.170 rr0=0.169 diff=0.001
feature_119,cont,-0.000587853559285229,0.8954234689493796,corr=-0.0006
feature_025,binary,0.00048619366334815006,0.904418325981762,rr1=0.169 rr0=0.169 diff=0.000
feature_037,binary,0.00043850316048713034,0.9059320931605461,rr1=0.169 rr0=0.169 diff=0.000
feature_082,cont,-0.0004074186185352479,0.927413689764976,corr=-0.0004
feature_035,binary,0.0003941139507585567,0.951751827390736,rr1=0.169 rr0=0.169 diff=0.000
feature_102,binary,-0.00014579045076884567,0.9785464381083495,rr1=0.169 rr0=0.169 diff=-0.000
feature_001,binary,-0.00020266424874731959,0.9834050009733002,rr1=0.169 rr0=0.169 diff=-0.000
feature_084,cont,4.6988855546456574e-05,0.9916169687825878,corr=0.0000
